algo1,algo2,method,gamma_pref,treatment_percentage,TUR_algo_1,TUR_algo_2,TE,Percentage_TE
Ideal,Item,Naive,1.0,0.7,[0.999401   0.99797913 1.        ],[0.90061408 0.8034381  0.95185693],[0.09878693 0.04730217 0.1965619  0.00144982],[0.0988459  0.04738537 0.1965619  0.00157526]
Ideal,Random,Naive,1.0,0.7,[0.99940672 0.99794239 1.        ],[0.47231011 0.46012669 0.48390432],[5.27096610e-01 5.15255290e-01 5.39197030e-01 3.73026157e-05],[5.27409310e-01 5.15692927e-01 5.39554276e-01 3.80127740e-05]
Ideal,User,Naive,1.0,0.7,[0.99943718 0.99806634 1.        ],[0.46605182 0.17100595 0.77651759],[0.53338535 0.2224256  0.826726   0.02376477],[0.53368878 0.22266092 0.82860522 0.02638687]
Random,Item,Naive,1.0,0.7,[0.47219139 0.45221784 0.49236269],[0.46742817 0.3985552  0.53316784],[ 0.00476322 -0.06433939  0.07436276  0.00125197],[ 0.00956818 -0.13600835  0.15316069  0.00578753]
Random,Ideal,Naive,1.0,0.7,[0.47256677 0.45095706 0.49215221],[0.99942093 0.99863014 1.        ],[-5.2685416e-01 -5.4841817e-01 -5.0727429e-01  1.1016366e-04],[-1.11595309 -1.21578195 -1.03074024  0.00228335]
Random,User,Naive,1.0,0.7,[0.47229159 0.45185185 0.49166667],[0.10730945 0.07743333 0.15542612],[0.36498214 0.31408601 0.40109198 0.00049264],[0.77269968 0.66991019 0.83481269 0.00181541]
User,Ideal,Naive,1.0,0.7,[0.92181314 0.84533088 0.9657005 ],[0.99939555 0.99859155 1.        ],[-0.0775824  -0.15400869 -0.03379566  0.00094044],[-0.085465   -0.18218811 -0.03499602  0.00149402]
User,Random,Naive,1.0,0.7,[0.14938428 0.10555556 0.21483333],[0.47205197 0.45935976 0.48412751],[-0.32266769 -0.36989699 -0.25586516  0.00084621],[-2.27165104 -3.43921172 -1.1834354   0.36707572]
User,Item,Naive,1.0,0.7,[0.39309966 0.28112013 0.50296296],[0.43110539 0.35902438 0.49520497],[-0.03800573 -0.13632981  0.05772863  0.00245072],[-0.11394219 -0.45295398  0.11742562  0.02289975]
Item,Ideal,Split,1.0,0.7,[0.30778779 0.21275253 0.40653031],[0.99941852 0.99865308 1.        ],[-0.69163073 -0.78642268 -0.59254578  0.00244613],[-2.33982845 -3.69642733 -1.4575686   0.34031765]
Item,Random,Split,1.0,0.7,[0.3069473  0.21530261 0.41450625],[0.47243571 0.46022307 0.48485288],[-0.16548841 -0.25889496 -0.05758274  0.00263735],[-0.58476663 -1.20129224 -0.13939869  0.07782704]
Item,User,Split,1.0,0.7,[0.30317456 0.20459843 0.4044623 ],[0.10616289 0.06884812 0.18466745],[0.19701167 0.07671001 0.31581211 0.00372044],[0.63734387 0.31267796 0.79873626 0.01536454]
Ideal,Item,Split,1.0,0.7,[0.99939954 0.99794174 1.        ],[0.41009616 0.33345379 0.47875139],[0.58930338 0.52015459 0.6665134  0.00139401],[0.58965706 0.52072428 0.66652886 0.00142185]
Ideal,Random,Split,1.0,0.7,[0.99940771 0.99800505 1.        ],[0.47205389 0.45999854 0.48518769],[5.27353830e-01 5.14713880e-01 5.39634130e-01 4.04140762e-05],[5.27666057e-01 5.14796738e-01 5.39803299e-01 4.15092605e-05]
Ideal,User,Split,1.0,0.7,[0.99943342 0.99806692 1.        ],[0.10635328 0.06701303 0.17849599],[8.93080140e-01 8.20610200e-01 9.32247850e-01 8.11053005e-04],[8.93585978e-01 8.21344328e-01 9.32905561e-01 7.72236389e-04]
Random,Item,Split,1.0,0.7,[0.47155494 0.45100337 0.49231151],[0.40837693 0.33397723 0.48600169],[ 0.06317801 -0.01784418  0.14193909  0.00166146],[ 0.13354151 -0.0377607   0.29973566  0.00684769]
Random,Ideal,Split,1.0,0.7,[0.47211516 0.45255556 0.49160118],[0.99942864 0.99867313 1.        ],[-5.27313480e-01 -5.47286140e-01 -5.07679140e-01  1.02087311e-04],[-1.11786764 -1.20932368 -1.03344319  0.00202194]
Random,User,Split,1.0,0.7,[0.47190042 0.45132236 0.49183061],[0.10711415 0.06924134 0.18000697],[0.36478626 0.28745628 0.41109094 0.00099474],[0.7729164  0.61985236 0.85393746 0.00369162]
User,Ideal,Split,1.0,0.7,[0.13032643 0.06474166 0.22750776],[0.99940948 0.99863014 1.        ],[-0.86908305 -0.9344264  -0.77199056  0.00171708],[ -7.55806192 -14.43135551  -3.39325974   8.84046018]
User,Random,Split,1.0,0.7,[0.13015914 0.06244636 0.23478905],[0.47208557 0.4603537  0.48461749],[-0.34192643 -0.41199904 -0.23962953  0.00193352],[-3.08104567 -6.59207144 -1.0220956   2.1459957 ]
User,Item,Split,1.0,0.7,[0.13214147 0.06094276 0.22708633],[0.40802066 0.33039035 0.48216787],[-0.27587919 -0.3848525  -0.14024948  0.0038936 ],[-2.47696079 -6.01913248 -0.63415542  1.82623585]
Item,Ideal,Cluster,1.0,0.68,[0.88537142 0.71103395 0.96341975],[0.99941342 0.99857143 1.        ],[-0.114042   -0.28801144 -0.03537544  0.00415354],[-0.13616356 -0.40489218 -0.03671846  0.00975609]
Item,Random,Cluster,1.0,0.66,[0.54852833 0.42580232 0.65636304],[0.47262646 0.45990271 0.48494359],[ 0.07590186 -0.04647035  0.18525253  0.00349434],[ 0.12796743 -0.11072718  0.28081939  0.01002983]
Item,User,Cluster,1.0,0.64,[0.41989875 0.3026     0.53669246],[0.21037717 0.11966306 0.31769379],[0.20952158 0.08010036 0.34186348 0.00445908],[0.49371974 0.23051369 0.69789869 0.01483078]
Ideal,Item,Cluster,1.0,0.71,[0.99942338 0.99721965 1.        ],[0.70449788 0.5637224  0.86178872],[0.2949255  0.13804422 0.43612092 0.00578208],[0.29510879 0.1380467  0.43626865 0.0057386 ]
Ideal,Random,Cluster,1.0,0.67,[0.99938158 0.99721965 1.        ],[0.47231885 0.46118921 0.48481341],[5.27062730e-01 5.14263210e-01 5.38408330e-01 3.79390631e-05],[5.27387998e-01 5.14698123e-01 5.38574954e-01 3.88827123e-05]
Ideal,User,Cluster,1.0,0.71,[0.99940404 0.9973545  1.        ],[0.40729445 0.14484458 0.67420016],[0.59210959 0.32532305 0.85360781 0.01816202],[0.59250064 0.32538222 0.85493087 0.02153024]
Random,Item,Cluster,1.0,0.75,[0.47148529 0.45237103 0.49074588],[0.48408392 0.40827783 0.55812698],[-0.01259862 -0.09172784  0.06498539  0.00159823],[-0.02727699 -0.1971977   0.13826441  0.00758292]
Random,Ideal,Cluster,1.0,0.71,[0.47237837 0.45222009 0.49192408],[0.99940007 0.99857091 1.        ],[-5.2702170e-01 -5.4755298e-01 -5.0765120e-01  1.0361256e-04],[-1.11666904 -1.21053956 -1.03198015  0.00211485]
Random,User,Cluster,1.0,0.7,[0.4722361  0.45231036 0.49140179],[0.11071323 0.07974427 0.16590036],[0.36152287 0.30214326 0.39892098 0.00060951],[0.76536246 0.64869344 0.8307907  0.00213033]
User,Ideal,Cluster,1.0,0.73,[0.76568397 0.45984516 0.91341201],[0.99942215 0.99856592 1.        ],[-0.23373818 -0.53931409 -0.08626827  0.0133571 ],[-0.34481872 -1.17283417 -0.09444544  0.07850457]
User,Random,Cluster,1.0,0.68,[0.15635456 0.10276552 0.24526828],[0.47221427 0.45952264 0.48390208],[-0.31585972 -0.37289259 -0.22321198  0.001458  ],[-2.18870153 -3.57047321 -0.90670585  0.52673263]
User,Item,Cluster,1.0,0.67,[0.33771087 0.21140079 0.47283465],[0.43097444 0.35023948 0.50598071],[-0.09326357 -0.23203259  0.03898614  0.00477998],[-0.32668922 -1.05307295  0.08903581  0.08560653]
Item,Ideal,User-corpus,1.0,0.7,[0.22820388 0.16738295 0.29159272],[0.9930726  0.98982643 0.99589744],[-0.76486872 -0.82446356 -0.7022341   0.00091028],[-3.43135486 -4.92162201 -2.40695059  0.38303436]
Item,Random,User-corpus,1.0,0.7,[0.22820388 0.16738295 0.29159272],[0.45024158 0.43708584 0.46354546],[-0.22203769 -0.28501682 -0.1554973   0.00097703],[-1.00933041 -1.70063569 -0.53100961  0.08050006]
Item,User,User-corpus,1.0,0.7,[0.22820388 0.16738295 0.29159272],[0.09021858 0.05185185 0.15505557],[0.1379853  0.05207605 0.21587124 0.00171792],[0.59624252 0.24709032 0.79130097 0.01872374]
Ideal,Item,User-corpus,1.0,0.7,[0.94625692 0.92314352 0.96619565],[0.39317984 0.32286198 0.45700934],[0.55307708 0.48723413 0.6229373  0.00116646],[0.58451275 0.51619979 0.65640593 0.00128499]
Ideal,Random,User-corpus,1.0,0.7,[0.94625692 0.92314352 0.96619565],[0.45024158 0.43708584 0.46354546],[4.96015341e-01 4.69830157e-01 5.22634548e-01 1.96244076e-04],[5.24104961e-01 5.05653541e-01 5.43150141e-01 9.57276291e-05]
Ideal,User,User-corpus,1.0,0.7,[0.94625692 0.92314352 0.96619565],[0.09021858 0.05185185 0.15505557],[8.56038338e-01 7.90822573e-01 8.99951167e-01 7.82817940e-04],[9.04668348e-01 8.36739004e-01 9.44857235e-01 7.80202739e-04]
Random,Item,User-corpus,1.0,0.7,[0.36852842 0.33999306 0.39530556],[0.39317984 0.32286198 0.45700934],[-0.02465141 -0.0934335   0.04854788  0.00136137],[-0.0683497  -0.26502256  0.12860078  0.01025671]
Random,Ideal,User-corpus,1.0,0.7,[0.36852842 0.33999306 0.39530556],[0.9930726  0.98982643 0.99589744],[-6.24544181e-01 -6.53796989e-01 -5.96464125e-01  2.04403138e-04],[-1.69857945 -1.92054776 -1.50884981  0.01066965]
Random,User,User-corpus,1.0,0.7,[0.36852842 0.33999306 0.39530556],[0.09021858 0.05185185 0.15505557],[0.27830984 0.20857549 0.32678307 0.00091563],[0.75476939 0.57709244 0.85873149 0.00530905]
User,Ideal,User-corpus,1.0,0.7,[0.06675483 0.02962418 0.11805655],[0.9930726  0.98982643 0.99589744],[-9.26317773e-01 -9.64154183e-01 -8.75718463e-01  5.44184937e-04],[-16.00618085 -32.5547629   -7.4148116   47.94557612]
User,Random,User-corpus,1.0,0.7,[0.06675483 0.02962418 0.11805655],[0.45024158 0.43708584 0.46354546],[-0.38348674 -0.42456242 -0.3289267   0.00060871],[ -6.71230724 -14.23898173  -2.80684299   9.87825578]
User,Item,User-corpus,1.0,0.7,[0.06675483 0.02962418 0.11805655],[0.39317984 0.32286198 0.45700934],[-0.32642501 -0.40729153 -0.23314326  0.00197792],[ -5.76576329 -13.02173318  -2.15268619   8.46722651]
Item,Ideal,Naive,1.0,0.3,[0.90432723 0.80468873 0.95540079],[0.99944581 0.99814683 1.        ],[-0.09511858 -0.19398253 -0.04349066  0.00147385],[-0.10734766 -0.24106552 -0.04554495  0.00254056]
Item,Random,Naive,1.0,0.3,[0.46883465 0.40563104 0.53305726],[0.47246291 0.45147222 0.4918359 ],[-0.00362826 -0.07127718  0.0626689   0.00116758],[-0.01296934 -0.17708729  0.11815254  0.00596196]
Item,User,Naive,1.0,0.3,[0.42864016 0.35239707 0.49332153],[0.39268368 0.28332143 0.49811482],[ 0.03595649 -0.06634507  0.14031488  0.00277933],[ 0.08190647 -0.16055573  0.31896704  0.01478596]
Ideal,Item,Naive,1.0,0.3,[0.9994292  0.99864824 1.        ],[0.95717988 0.91988113 0.98248148],[0.04224932 0.01691838 0.07942864 0.00025429],[0.04227279 0.0169287  0.07945182 0.00024505]
Ideal,Random,Naive,1.0,0.3,[0.99942024 0.99864865 1.        ],[0.4723538  0.45213262 0.49148401],[5.27066440e-01 5.07919130e-01 5.47271560e-01 1.00779216e-04],[5.27372083e-01 5.08169917e-01 5.47665512e-01 9.78584189e-05]
Ideal,User,Naive,1.0,0.3,[0.99945569 0.99874552 1.        ],[0.9226447  0.85352844 0.96410354],[0.07681099 0.03556946 0.14600773 0.00079372],[0.07685286 0.03558038 0.14607549 0.00087874]
Random,Item,Naive,1.0,0.3,[0.47244713 0.46092887 0.48458575],[0.52923957 0.44860498 0.6129784 ],[-0.05679244 -0.1419006   0.02614996  0.00183784],[-0.12044939 -0.30082535  0.05489522  0.00873343]
Random,Ideal,Naive,1.0,0.3,[0.47234522 0.4596562  0.48499377],[0.99943812 0.99806733 1.        ],[-5.27092890e-01 -5.39690710e-01 -5.14221550e-01  4.22140587e-05],[-1.11630061e+00 -1.17306230e+00 -1.06082036e+00  8.39699822e-04]
Random,User,Naive,1.0,0.3,[0.47252981 0.46009245 0.48391573],[0.14945947 0.10246817 0.21865184],[0.32307034 0.25154613 0.36880168 0.00089474],[0.68366162 0.53822958 0.78308803 0.00385519]
User,Ideal,Naive,1.0,0.3,[0.45856364 0.16993545 0.78568277],[0.99939875 0.99794239 1.        ],[-0.54083512 -0.82956255 -0.2136212   0.02468918],[-1.56871844 -4.8816339  -0.27189275  1.48784933]
User,Random,Naive,1.0,0.3,[0.10711913 0.07840073 0.15525039],[0.4720035  0.45118643 0.49222306],[-0.36488437 -0.40004718 -0.31377054  0.00048441],[-3.53429323 -5.0215033  -2.05039165  0.56029899]
User,Item,Naive,1.0,0.3,[0.23801184 0.12962577 0.3582607 ],[0.39801503 0.29840278 0.49115171],[-0.16000319 -0.28408148 -0.04339     0.00377007],[-0.76161512 -1.9563651  -0.14404751  0.20757791]
Item,Ideal,Split,1.0,0.3,[0.41043608 0.33024962 0.47987982],[0.99940142 0.9978629  1.        ],[-0.58896534 -0.66929196 -0.51944181  0.00146131],[-1.4569336  -2.0270754  -1.08224695  0.05757544]
Item,Random,Split,1.0,0.3,[0.41052441 0.33091978 0.48060755],[0.47217963 0.45039616 0.49218107],[-0.06165523 -0.14211897  0.01159689  0.00153768],[-0.16022906 -0.42856249  0.02402802  0.01285786]
Item,User,Split,1.0,0.3,[0.4075468  0.33199895 0.47764882],[0.13185744 0.06253968 0.22685313],[0.27568936 0.14391261 0.38596748 0.0038129 ],[0.67155981 0.3881749  0.85166063 0.01444407]
Ideal,Item,Split,1.0,0.3,[0.9993932  0.99863237 1.        ],[0.30372294 0.20841238 0.40529762],[0.69567026 0.59377779 0.79062371 0.00252163],[0.69609253 0.5942381  0.79138522 0.00264725]
Ideal,Random,Split,1.0,0.3,[0.99940814 0.99863014 1.        ],[0.47238377 0.45242932 0.49178905],[5.27024370e-01 5.07473900e-01 5.47052070e-01 1.01938746e-04],[5.27336265e-01 5.07834431e-01 5.47289740e-01 1.04036451e-04]
Ideal,User,Split,1.0,0.3,[0.99943356 0.99871176 1.        ],[0.12872648 0.06413919 0.22610122],[0.87070708 0.77326116 0.93501065 0.0017026 ],[0.87120077 0.77379066 0.93580624 0.00184736]
Random,Item,Split,1.0,0.3,[0.47211085 0.4595216  0.48385755],[0.30545738 0.20858194 0.40603472],[0.16665348 0.06721143 0.26435451 0.00252925],[0.35280434 0.14280611 0.55603974 0.01130177]
Random,Ideal,Split,1.0,0.3,[0.47203965 0.45850694 0.48518519],[0.99941128 0.99794239 1.        ],[-5.27371630e-01 -5.41024370e-01 -5.13643260e-01  4.87899043e-05],[-1.11761865e+00 -1.18028369e+00 -1.06002970e+00  8.51040276e-04]
