algo1,algo2,method,gamma_pref,treatment_percentage,cluster_shuffle_percentage,TUR_algo_1,TUR_algo_2,graph_cut,TE,Percentage_TE
Random,Ideal,Split,1.0,0.5,0.1,[0.47193697 0.45681748 0.4866712  0.04184953],[9.99426689e-01 9.98444444e-01 1.00000000e+00 1.75909503e-07],0.0,[-5.27489719e-01 -5.42692238e-01 -5.12705451e-01  5.94466510e-05],[-1.11827552 -1.18802104 -1.05310757  0.00119877]
Random,User,Split,1.0,0.5,0.1,[0.47206436 0.45579697 0.48670749 0.04180715],[0.11778886 0.06559524 0.20619065 0.00136914],0.0,[0.35427551 0.26554688 0.40796334 0.00140637],[0.75046807 0.56506452 0.85927527 0.00613379]
User,Ideal,Split,1.0,0.5,0.1,[0.1187687  0.06862473 0.20876911 0.00579093],[9.99404737e-01 9.98411872e-01 1.00000000e+00 1.79601642e-07],0.0,[-0.88063604 -0.92979656 -0.78999437  0.00139637],[ -8.19419893 -13.54914485  -3.78405944   7.06588938]
User,Random,Split,1.0,0.5,0.1,[0.11578079 0.06337405 0.19958861 0.00534886],[4.71977847e-01 4.56916100e-01 4.87150654e-01 5.85722830e-05],0.0,[-0.35619705 -0.41007159 -0.27078658  0.00139777],[-3.46564651 -6.40455378 -1.34262663  1.74381938]
User,Item,Split,1.0,0.5,0.1,[0.11712049 0.06323333 0.20102789 0.00544122],[0.36561755 0.2785     0.44889216 0.00200016],0.0,[-0.24849706 -0.3582575  -0.116       0.00388806],[-2.44295964 -5.11324341 -0.60581428  1.43839053]
Item,Ideal,Cluster,1.0,0.51,0.1,[0.84659215 0.711473   0.94728214 0.13776607],[0.99941111 0.99807669 1.         0.18718659],0.3843346438667561,[-0.15281896 -0.27026568 -0.05968911  0.01042308],[-0.18844706 -0.40419346 -0.05540856  0.0099133 ]
Item,Random,Cluster,1.0,0.48,0.1,[0.50984844 0.41175835 0.59747778 0.0523914 ],[0.47224816 0.45662037 0.48730526 0.04189996],0.3394775382926614,[ 0.03760028 -0.04319764  0.11299587  0.00329107],[ 0.0660459  -0.14034972  0.21018669  0.00780785]
Item,User,Cluster,1.0,0.44,0.1,[0.41892567 0.32876879 0.49979869 0.03608164],[0.28180501 0.17774038 0.38870309 0.02055361],0.44256697228427244,[0.13712066 0.04300228 0.24075228 0.00858224],[0.32367138 0.05159649 0.56663417 0.01715132]
Ideal,Item,Cluster,1.0,0.52,0.1,[0.9994145  0.99810795 1.         0.1871909 ],[0.8421638  0.69737778 0.94150943 0.13577803],0.3865642680387035,[0.1572507  0.06815221 0.27496447 0.01059652],[0.15734154 0.05804468 0.30212647 0.00419715]
Ideal,Random,Cluster,1.0,0.47,0.1,[0.99942329 0.99819014 1.         0.18720222],[0.47236744 0.45676264 0.48798504 0.04195967],0.35512345612384694,[0.52705585 0.51360311 0.54012453 0.05214786],[5.27358717e-01 5.11762687e-01 5.42981518e-01 6.42989041e-05]
Ideal,User,Cluster,1.0,0.52,0.1,[0.99939852 0.99814815 1.         0.18719391],[0.63422648 0.30738384 0.83641868 0.10149437],0.43811696220489693,[0.36517204 0.18845584 0.64023272 0.05560959],[0.36541077 0.16309548 0.69239393 0.01923569]
Random,Item,Cluster,1.0,0.47,0.1,[0.47286642 0.45753839 0.48868827 0.04207599],[0.50687455 0.41323766 0.58793775 0.05120107],0.33311491799625353,[-0.03400813 -0.10623547  0.04660721  0.0031057 ],[-0.07226625 -0.24785784  0.12685971  0.00956459]
Random,Ideal,Cluster,1.0,0.47,0.1,[0.4724496  0.45603865 0.48815033 0.0419386 ],[0.99938943 0.99814815 1.         0.18719277],0.3561515067076499,[-0.52693984 -0.54021898 -0.51367865  0.05215153],[-1.11593479 -1.19168428 -1.04770744  0.00127421]
Random,User,Cluster,1.0,0.48,0.1,[0.47222368 0.45649692 0.48717995 0.04188384],[0.12643709 0.08798139 0.19683396 0.00504713],0.36339589745001316,[0.34578659 0.28615578 0.38556216 0.0228207 ],[0.73210405 0.57967219 0.81533118 0.0036557 ]
User,Ideal,Cluster,1.0,0.49,0.1,[0.63079238 0.29274357 0.84119847 0.1031602 ],[0.9994456  0.99823207 1.         0.18721023],0.4366643944422799,[-0.36865322 -0.66645285 -0.17280538  0.06129094],[-0.70874819 -2.41425193 -0.18762581  0.3325018 ]
User,Random,Cluster,1.0,0.55,0.1,[0.12653137 0.08785443 0.19630876 0.00502455],[0.47191239 0.45619571 0.48701038 0.04183872],0.36846112774018996,[-0.34538103 -0.38402943 -0.28976879  0.02276276],[-2.88939571 -4.40834417 -1.38167636  0.58893667]
User,Item,Cluster,1.0,0.51,0.1,[0.28589409 0.17317835 0.40686068 0.02245044],[0.41894561 0.32314312 0.5054922  0.03658618],0.4449882278441786,[-0.13305151 -0.2381473  -0.03294447  0.00866731],[-0.51997438 -1.33026156 -0.03711561  0.10617987]
Item,Ideal,User-corpus,1.0,0.5,0.1,[0.32904234 0.26158213 0.39979672 0.02282449],[9.85043985e-01 9.78189113e-01 9.91571966e-01 1.19390434e-05],0.0,[-0.65600164 -0.72518275 -0.58572054  0.00119977],[-2.02799577 -2.77836611 -1.46661119  0.10775449]
Item,Random,User-corpus,1.0,0.5,0.1,[0.32895706 0.2629454  0.39445076 0.02243032],[4.22100967e-01 4.05320283e-01 4.40106934e-01 7.90506227e-05],0.0,[-0.09314391 -0.16494365 -0.02490197  0.00124422],[-0.29692548 -0.6153872  -0.06384633  0.01983948]
Item,User,User-corpus,1.0,0.5,0.1,[0.32930192 0.26246524 0.39624324 0.02257383],[0.08411746 0.04360547 0.15348198 0.00076415],0.0,[0.24518446 0.1415339  0.33922636 0.00242697],[0.73938879 0.48100668 0.8783019  0.0096817 ]
Ideal,Item,User-corpus,1.0,0.5,0.1,[0.98486903 0.97801394 0.99111214 0.18181494],[0.3284693  0.25736315 0.39701667 0.00126888],0.0,[0.65639974 0.58767464 0.72488944 0.00125648],[0.66649268 0.59665618 0.73819553 0.0013017 ]
Ideal,Random,User-corpus,1.0,0.5,0.1,[0.98518425 0.97797123 0.99185301 0.18194233],[4.22314271e-01 4.05837593e-01 4.39520697e-01 7.51593720e-05],0.0,[5.62869981e-01 5.41954717e-01 5.83557288e-01 1.03173519e-04],[5.71321207e-01 5.52341827e-01 5.89718487e-01 8.66880589e-05]
Ideal,User,User-corpus,1.0,0.5,0.1,[0.98511177 0.97777233 0.99151563 0.18186693],[0.08438949 0.0407286  0.14703926 0.0007485 ],0.0,[9.00722282e-01 8.38082344e-01 9.46075985e-01 7.44480951e-04],[9.14342821e-01 8.50889762e-01 9.58742628e-01 7.69393602e-04]
Random,Item,User-corpus,1.0,0.5,0.1,[0.4221967  0.4063097  0.4395406  0.03363694],[0.3299337  0.26287104 0.39767588 0.00125979],0.0,[0.092263   0.01868025 0.16070338 0.00140011],[0.21801505 0.04450856 0.37773955 0.00762945]
Random,Ideal,User-corpus,1.0,0.5,0.1,[0.42247926 0.40264472 0.43848187 0.03342573],[9.85101689e-01 9.77777778e-01 9.91667929e-01 1.26840430e-05],0.0,[-5.62622425e-01 -5.83090946e-01 -5.43135562e-01  1.05817511e-04],[-1.33277784 -1.44708482 -1.23649661  0.00266602]
Random,User,User-corpus,1.0,0.5,0.1,[0.42210892 0.40613129 0.43851961 0.03356198],[0.0851217  0.0418939  0.14703125 0.0007582 ],0.0,[0.33698722 0.27133127 0.38563079 0.00086554],[0.79816631 0.65036605 0.90188542 0.00431633]
User,Ideal,User-corpus,1.0,0.5,0.1,[0.0837836  0.04079559 0.14558657 0.00290801],[9.85121544e-01 9.77777778e-01 9.91545894e-01 1.31455544e-05],0.0,[-9.01337946e-01 -9.43131764e-01 -8.39655896e-01  7.36589254e-04],[-12.04295348 -23.16023615  -5.78517418  19.06375405]
User,Random,User-corpus,1.0,0.5,0.1,[0.08353425 0.04032874 0.14838542 0.0030232 ],[4.22439248e-01 4.04871288e-01 4.39318182e-01 7.55012011e-05],0.0,[-0.33890499 -0.38691739 -0.26476486  0.00089158],[-4.64944496 -9.4504559  -1.85069654  3.84265372]
User,Item,User-corpus,1.0,0.5,0.1,[0.08230009 0.03875713 0.1449471  0.00289888],[0.32978944 0.2620886  0.39769949 0.00122519],0.0,[-0.24748935 -0.33235037 -0.14709526  0.00229226],[-3.49668579 -8.36737846 -1.1391309   3.04993358]
Item,Item,Ref,1.0,0.0,0.6,[0.4522632  0.38357146 0.52200113 0.04080618],[0.45189342 0.37656691 0.52070858 0.04052089],0.0,[ 0.00036978 -0.08235544  0.07451837  0.        ],[-0.00300834 -0.19628647  0.15579351  0.0081475 ]
User,User,Ref,1.0,0.0,0.6,[0.09890271 0.06956845 0.15099601 0.00297662],[0.09824968 0.0700441  0.14087868 0.00262727],0.0,[ 0.00065303 -0.02298073  0.02522869  0.        ],[-0.00172387 -0.25545871  0.21948807  0.01530416]
Random,Random,Ref,1.0,0.0,0.6,[0.47221004 0.45811921 0.48632778 0.04191024],[0.47270137 0.45799799 0.48768301 0.04202283],0.0,[-0.00049132 -0.0211757   0.0223773   0.        ],[-0.00131505 -0.04608157  0.04598976  0.00054949]
Ideal,Ideal,Ref,1.0,0.0,0.6,[0.9994252  0.9984846  1.         0.18723911],[0.99941886 0.99844435 1.         0.1872333 ],0.0,[ 6.33846084e-06 -1.23515024e-03  1.41892103e-03  0.00000000e+00],[ 6.11788997e-06 -1.23667774e-03  1.41892780e-03  4.65922707e-07]
Item,Ideal,Naive,1.0,0.5,0.6,[0.94622947 0.90157946 0.9736463  0.16650761],[0.99945251 0.99844444 1.         0.18723752],0.0,[-0.05322304 -0.0977497  -0.02577171  0.00035894],[-0.05668432 -0.1083655  -0.02646895  0.00047869]
Item,Random,Naive,1.0,0.5,0.6,[0.48692672 0.41623358 0.55760566 0.0469532 ],[0.47230388 0.456275   0.48780944 0.04191923],0.0,[ 0.01462283 -0.05870238  0.08834409  0.00147831],[ 0.02414569 -0.1432253   0.16014823  0.00622149]
Item,User,Naive,1.0,0.5,0.6,[0.41167028 0.32833013 0.48851867 0.0346522 ],[0.32847406 0.22130902 0.43699909 0.02610158],0.0,[ 0.08319622 -0.01650669  0.18669507  0.00269943],[ 0.20052144 -0.03890018  0.43880572  0.01504155]
Ideal,Item,Naive,1.0,0.5,0.6,[0.99940898 0.99834515 1.         0.18721972],[0.94607181 0.89898827 0.97246377 0.16607685],0.0,[0.05333717 0.02713556 0.1004921  0.00032365],[0.05336801 0.0271529  0.10054943 0.00032394]
Ideal,Random,Naive,1.0,0.5,0.6,[0.99941817 0.99838339 1.         0.18722563],[0.47218899 0.4571751  0.48752848 0.04193985],0.0,[5.27229176e-01 5.12035027e-01 5.42345768e-01 5.64507091e-05],[5.27536007e-01 5.12256063e-01 5.42516444e-01 5.63546249e-05]
Ideal,User,Naive,1.0,0.5,0.6,[0.99945523 0.99844948 1.         0.18723849],[0.81111898 0.54356144 0.9242209  0.12730238],0.0,[0.18833625 0.07549599 0.45552088 0.00882189],[0.18844135 0.07553697 0.45593929 0.00883404]
Random,Item,Naive,1.0,0.5,0.6,[0.47245103 0.45832265 0.48744183 0.04200884],[0.48762244 0.41716423 0.55963126 0.0472147 ],0.0,[-0.01517141 -0.09053016  0.05815831  0.00137989],[-0.03244037 -0.19555593  0.12201436  0.0062192 ]
Random,Ideal,Naive,1.0,0.5,0.6,[0.47229979 0.45710594 0.48621444 0.04185557],[0.99942041 0.99837949 1.         0.18722543],0.0,[-5.27120624e-01 -5.42292981e-01 -5.13456197e-01  6.06195225e-05],[-1.11664613 -1.18701089 -1.05595826  0.00122147]
Random,User,Naive,1.0,0.5,0.6,[0.47264671 0.45752865 0.48774404 0.04199944],[0.12034272 0.08769854 0.17850324 0.00417066],0.0,[0.35230398 0.2947014  0.38736509 0.00054762],[0.74536516 0.62580112 0.81579016 0.00227755]
User,Ideal,Naive,1.0,0.5,0.6,[0.81706939 0.55957056 0.93356532 0.12950093],[0.99940446 0.99837963 1.         0.18722345],0.0,[-0.18233507 -0.43912038 -0.0662166   0.00934028],[-0.24595247 -0.78474534 -0.07092873  0.04049165]
User,Random,Naive,1.0,0.5,0.6,[0.12074685 0.08577705 0.17756165 0.0041463 ],[0.4722172  0.45798424 0.48683441 0.04193719],0.0,[-0.35147035 -0.39056203 -0.29128611  0.00061918],[-3.04618615 -4.53376938 -1.65890611  0.53425049]
User,Item,Naive,1.0,0.5,0.6,[0.32756457 0.21539464 0.44168009 0.02659902],[0.4124702  0.33095121 0.49087609 0.03493678],0.0,[-0.08490563 -0.18895208  0.01620602  0.00277973],[-0.29030574 -0.79629075  0.04071511  0.04843584]
Item,Ideal,Split,1.0,0.5,0.6,[0.36513136 0.27306973 0.44883987 0.02848268],[9.99422068e-01 9.98444444e-01 1.00000000e+00 1.84282005e-07],0.0,[-0.63429071 -0.72634823 -0.55001233  0.00195735],[-1.78011149 -2.66116207 -1.22549101  0.13025734]
Item,Random,Split,1.0,0.5,0.6,[0.36739538 0.28030593 0.45464096 0.02911489],[4.72411364e-01 4.56859305e-01 4.88000855e-01 5.78318391e-05],0.0,[-0.10501598 -0.19372972 -0.0153229   0.00207241],[-0.30589075 -0.70116148 -0.03397397  0.02835435]
Item,User,Split,1.0,0.5,0.6,[0.36273702 0.2777551  0.44520158 0.02806195],[0.11592198 0.0653924  0.20208108 0.00129844],0.0,[0.24681505 0.11141559 0.35858214 0.00378402],[0.67322525 0.37765407 0.83480796 0.01389109]
