algo1,algo2,method,gamma_pref,treatment_percentage,cluster_shuffle_percentage,TUR_algo_1,TUR_algo_2,graph_cut,TE,Percentage_TE
Ideal,Item,Cluster,1.0,0.45,0.3,[0.99941116 0.99829012 1.         0.18721315],[0.90679317 0.80733135 0.96226426 0.15231151],0.4289053562455241,[0.092618   0.04331242 0.17329159 0.00414487],[0.09266997 0.03727835 0.19204588 0.00176022]
Ideal,Random,Cluster,1.0,0.51,0.3,[0.99941146 0.99830871 1.         0.1872155 ],[0.47265968 0.45801965 0.48790123 0.04203602],0.3967545801979883,[0.52675178 0.51378271 0.53991383 0.05212321],[5.27061264e-01 5.11976260e-01 5.41977854e-01 5.93235726e-05]
Ideal,User,Cluster,1.0,0.46,0.3,[0.99942734 0.998185   1.         0.18720209],[0.7140247  0.43489193 0.88229905 0.11148865],0.4475762329239358,[0.28540265 0.1346248  0.51641938 0.03675858],[0.28557205 0.11732158 0.56475583 0.0137706 ]
Random,Item,Cluster,1.0,0.51,0.3,[0.4724373  0.45707335 0.48821429 0.04199506],[0.5008555  0.40792131 0.58416983 0.050322  ],0.37218588811795156,[-0.0284182  -0.09729959  0.05052105  0.00285339],[-0.060537   -0.2450706   0.13251236  0.00924517]
Random,Ideal,Cluster,1.0,0.53,0.3,[0.4722065  0.45736845 0.48794468 0.0419786 ],[0.99942002 0.99828976 1.         0.18721421],0.3953896192906059,[-0.52721352 -0.53978141 -0.51456349  0.05219047],[-1.11704829 -1.18493186 -1.04788724  0.00118969]
Random,User,Cluster,1.0,0.43,0.3,[0.472113   0.45697326 0.48607071 0.04182817],[0.12483967 0.08802525 0.1948714  0.00493651],0.38832493644733007,[0.34727332 0.28774473 0.38368348 0.02279265],[0.73545055 0.5873913  0.81523109 0.00337046]
User,Ideal,Cluster,1.0,0.5,0.3,[0.711237   0.34276603 0.89025815 0.11771708],[0.9993887  0.99825621 1.         0.18720612],0.44506712328606396,[-0.2881517  -0.60752618 -0.1248615   0.05183367],[-0.49131909 -1.91663512 -0.12291824  0.21183087]
User,Random,Cluster,1.0,0.52,0.3,[0.12655517 0.08695036 0.19632075 0.00503225],[0.47213816 0.45740741 0.48688987 0.04190635],0.39159448788911244,[-0.34558298 -0.38378399 -0.28709595  0.02271065],[-2.90194622 -4.48192148 -1.39929352  0.62699754]
User,Item,Cluster,1.0,0.52,0.3,[0.30217806 0.1983755  0.41774823 0.02358961],[0.41484536 0.32333974 0.49799062 0.03565183],0.468701455455976,[-0.1126673  -0.20416033 -0.02772695  0.00636617],[-0.41051503 -1.02883294 -0.03599     0.06570968]
Item,Ideal,User-corpus,1.0,0.5,0.3,[0.33108893 0.26950207 0.39613626 0.02270222],[9.85128417e-01 9.78376913e-01 9.91788672e-01 1.25591862e-05],0.0,[-0.65403949 -0.71540988 -0.58763934  0.00103984],[-2.00453155 -2.64971016 -1.4868962   0.08977048]
Item,Random,User-corpus,1.0,0.5,0.3,[0.32945362 0.26286974 0.40092693 0.02293651],[4.22287783e-01 4.03697531e-01 4.40526471e-01 8.26205893e-05],0.0,[-0.09283416 -0.16073385 -0.01785052  0.00129044],[-0.29605598 -0.60772549 -0.04466522  0.0200017 ]
Item,User,User-corpus,1.0,0.5,0.3,[0.32972924 0.26665533 0.39578413 0.02259296],[0.0850354  0.04204548 0.14764652 0.00075691],0.0,[0.24469385 0.1521875  0.33209855 0.00218278],[0.73787362 0.53214187 0.87970932 0.00885443]
Ideal,Item,User-corpus,1.0,0.5,0.3,[0.98514659 0.97753787 0.99133395 0.18182022],[0.33012402 0.26356405 0.39514468 0.00115222],0.0,[0.65502257 0.59028986 0.72229356 0.00112998],[0.66491214 0.59946993 0.73233239 0.0011768 ]
Ideal,Random,User-corpus,1.0,0.5,0.3,[0.98502205 0.97777778 0.99142413 0.18184496],[4.22321340e-01 4.05681525e-01 4.39106481e-01 7.44069780e-05],0.0,[5.62700705e-01 5.42470424e-01 5.82095739e-01 9.96575662e-05],[5.71244837e-01 5.53596450e-01 5.89081107e-01 8.48258082e-05]
Ideal,User,User-corpus,1.0,0.5,0.3,[0.98539776 0.97777778 0.9918246  0.18194193],[0.08577505 0.04205891 0.15001852 0.00080295],0.0,[8.99622715e-01 8.34410122e-01 9.43197032e-01 8.06701126e-04],[9.12957425e-01 8.47602785e-01 9.57243069e-01 8.25658591e-04]
Random,Item,User-corpus,1.0,0.5,0.3,[0.4221967  0.4063097  0.4395406  0.03363694],[0.3299337  0.26287104 0.39767588 0.00125979],0.0,[0.092263   0.01868025 0.16070338 0.00140011],[0.21801505 0.04450856 0.37773955 0.00762945]
Random,Ideal,User-corpus,1.0,0.5,0.3,[0.42247926 0.40264472 0.43848187 0.03342573],[9.85101689e-01 9.77777778e-01 9.91667929e-01 1.26840430e-05],0.0,[-5.62622425e-01 -5.83090946e-01 -5.43135562e-01  1.05817511e-04],[-1.33277784 -1.44708482 -1.23649661  0.00266602]
Random,User,User-corpus,1.0,0.5,0.3,[0.42210892 0.40613129 0.43851961 0.03356198],[0.0851217  0.0418939  0.14703125 0.0007582 ],0.0,[0.33698722 0.27133127 0.38563079 0.00086554],[0.79816631 0.65036605 0.90188542 0.00431633]
User,Ideal,User-corpus,1.0,0.5,0.3,[0.0837836  0.04079559 0.14558657 0.00290801],[9.85121544e-01 9.77777778e-01 9.91545894e-01 1.31455544e-05],0.0,[-9.01337946e-01 -9.43131764e-01 -8.39655896e-01  7.36589254e-04],[-12.04295348 -23.16023615  -5.78517418  19.06375405]
User,Random,User-corpus,1.0,0.5,0.3,[0.08353425 0.04032874 0.14838542 0.0030232 ],[4.22439248e-01 4.04871288e-01 4.39318182e-01 7.55012011e-05],0.0,[-0.33890499 -0.38691739 -0.26476486  0.00089158],[-4.64944496 -9.4504559  -1.85069654  3.84265372]
User,Item,User-corpus,1.0,0.5,0.3,[0.08230009 0.03875713 0.1449471  0.00289888],[0.32978944 0.2620886  0.39769949 0.00122519],0.0,[-0.24748935 -0.33235037 -0.14709526  0.00229226],[-3.49668579 -8.36737846 -1.1391309   3.04993358]
Item,Item,Ref,1.0,0.0,1.0,[0.4522632  0.38357146 0.52200113 0.04080618],[0.45189342 0.37656691 0.52070858 0.04052089],0.0,[ 0.00036978 -0.08235544  0.07451837  0.        ],[-0.00300834 -0.19628647  0.15579351  0.0081475 ]
User,User,Ref,1.0,0.0,1.0,[0.09890271 0.06956845 0.15099601 0.00297662],[0.09824968 0.0700441  0.14087868 0.00262727],0.0,[ 0.00065303 -0.02298073  0.02522869  0.        ],[-0.00172387 -0.25545871  0.21948807  0.01530416]
Random,Random,Ref,1.0,0.0,1.0,[0.47221004 0.45811921 0.48632778 0.04191024],[0.47270137 0.45799799 0.48768301 0.04202283],0.0,[-0.00049132 -0.0211757   0.0223773   0.        ],[-0.00131505 -0.04608157  0.04598976  0.00054949]
Ideal,Ideal,Ref,1.0,0.0,1.0,[0.9994252  0.9984846  1.         0.18723911],[0.99941886 0.99844435 1.         0.1872333 ],0.0,[ 6.33846084e-06 -1.23515024e-03  1.41892103e-03  0.00000000e+00],[ 6.11788997e-06 -1.23667774e-03  1.41892780e-03  4.65922707e-07]
Item,Ideal,Naive,1.0,0.5,1.0,[0.94622947 0.90157946 0.9736463  0.16650761],[0.99945251 0.99844444 1.         0.18723752],0.0,[-0.05322304 -0.0977497  -0.02577171  0.00035894],[-0.05668432 -0.1083655  -0.02646895  0.00047869]
Item,Random,Naive,1.0,0.5,1.0,[0.48692672 0.41623358 0.55760566 0.0469532 ],[0.47230388 0.456275   0.48780944 0.04191923],0.0,[ 0.01462283 -0.05870238  0.08834409  0.00147831],[ 0.02414569 -0.1432253   0.16014823  0.00622149]
Item,User,Naive,1.0,0.5,1.0,[0.41167028 0.32833013 0.48851867 0.0346522 ],[0.32847406 0.22130902 0.43699909 0.02610158],0.0,[ 0.08319622 -0.01650669  0.18669507  0.00269943],[ 0.20052144 -0.03890018  0.43880572  0.01504155]
Ideal,Item,Naive,1.0,0.5,1.0,[0.99940898 0.99834515 1.         0.18721972],[0.94607181 0.89898827 0.97246377 0.16607685],0.0,[0.05333717 0.02713556 0.1004921  0.00032365],[0.05336801 0.0271529  0.10054943 0.00032394]
Ideal,Random,Naive,1.0,0.5,1.0,[0.99941817 0.99838339 1.         0.18722563],[0.47218899 0.4571751  0.48752848 0.04193985],0.0,[5.27229176e-01 5.12035027e-01 5.42345768e-01 5.64507091e-05],[5.27536007e-01 5.12256063e-01 5.42516444e-01 5.63546249e-05]
Ideal,User,Naive,1.0,0.5,1.0,[0.99945523 0.99844948 1.         0.18723849],[0.81111898 0.54356144 0.9242209  0.12730238],0.0,[0.18833625 0.07549599 0.45552088 0.00882189],[0.18844135 0.07553697 0.45593929 0.00883404]
Random,Item,Naive,1.0,0.5,1.0,[0.47245103 0.45832265 0.48744183 0.04200884],[0.48762244 0.41716423 0.55963126 0.0472147 ],0.0,[-0.01517141 -0.09053016  0.05815831  0.00137989],[-0.03244037 -0.19555593  0.12201436  0.0062192 ]
Random,Ideal,Naive,1.0,0.5,1.0,[0.47229979 0.45710594 0.48621444 0.04185557],[0.99942041 0.99837949 1.         0.18722543],0.0,[-5.27120624e-01 -5.42292981e-01 -5.13456197e-01  6.06195225e-05],[-1.11664613 -1.18701089 -1.05595826  0.00122147]
Random,User,Naive,1.0,0.5,1.0,[0.47264671 0.45752865 0.48774404 0.04199944],[0.12034272 0.08769854 0.17850324 0.00417066],0.0,[0.35230398 0.2947014  0.38736509 0.00054762],[0.74536516 0.62580112 0.81579016 0.00227755]
User,Ideal,Naive,1.0,0.5,1.0,[0.81706939 0.55957056 0.93356532 0.12950093],[0.99940446 0.99837963 1.         0.18722345],0.0,[-0.18233507 -0.43912038 -0.0662166   0.00934028],[-0.24595247 -0.78474534 -0.07092873  0.04049165]
User,Random,Naive,1.0,0.5,1.0,[0.12074685 0.08577705 0.17756165 0.0041463 ],[0.4722172  0.45798424 0.48683441 0.04193719],0.0,[-0.35147035 -0.39056203 -0.29128611  0.00061918],[-3.04618615 -4.53376938 -1.65890611  0.53425049]
User,Item,Naive,1.0,0.5,1.0,[0.32756457 0.21539464 0.44168009 0.02659902],[0.4124702  0.33095121 0.49087609 0.03493678],0.0,[-0.08490563 -0.18895208  0.01620602  0.00277973],[-0.29030574 -0.79629075  0.04071511  0.04843584]
Item,Ideal,Split,1.0,0.5,1.0,[0.36513136 0.27306973 0.44883987 0.02848268],[9.99422068e-01 9.98444444e-01 1.00000000e+00 1.84282005e-07],0.0,[-0.63429071 -0.72634823 -0.55001233  0.00195735],[-1.78011149 -2.66116207 -1.22549101  0.13025734]
Item,Random,Split,1.0,0.5,1.0,[0.36739538 0.28030593 0.45464096 0.02911489],[4.72411364e-01 4.56859305e-01 4.88000855e-01 5.78318391e-05],0.0,[-0.10501598 -0.19372972 -0.0153229   0.00207241],[-0.30589075 -0.70116148 -0.03397397  0.02835435]
Item,User,Split,1.0,0.5,1.0,[0.36273702 0.2777551  0.44520158 0.02806195],[0.11592198 0.0653924  0.20208108 0.00129844],0.0,[0.24681505 0.11141559 0.35858214 0.00378402],[0.67322525 0.37765407 0.83480796 0.01389109]
Ideal,Item,Split,1.0,0.5,1.0,[0.99939232 0.99838373 1.         0.18722244],[0.36430091 0.28028848 0.44915123 0.0019044 ],0.0,[0.6350914  0.55040849 0.71906102 0.00190313],[0.63547824 0.55052445 0.71952661 0.00190617]
Ideal,Random,Split,1.0,0.5,1.0,[0.99941311 0.99850427 1.         0.18724005],[4.72077890e-01 4.56943736e-01 4.88022876e-01 5.96657959e-05],0.0,[5.27335220e-01 5.11524276e-01 5.42669148e-01 6.01535396e-05],[5.27644650e-01 5.11750565e-01 5.42931778e-01 5.99187593e-05]
Ideal,User,Split,1.0,0.5,1.0,[0.99944012 0.99853179 1.         0.18724685],[0.11444567 0.06538131 0.19937081 0.00122723],0.0,[0.88499445 0.79998887 0.9341673  0.0012277 ],[0.88549005 0.80050054 0.93458916 0.0012286 ]
Random,Item,Split,1.0,0.5,1.0,[0.47191485 0.45827145 0.48624717 0.04189543],[0.36357165 0.27821995 0.44934817 0.00196892],0.0,[0.10834321 0.01656627 0.192155   0.00201351],[0.2294145  0.03537853 0.40583117 0.00897023]
Random,Ideal,Split,1.0,0.5,1.0,[0.47193697 0.45681748 0.4866712  0.04184953],[9.99426689e-01 9.98444444e-01 1.00000000e+00 1.75909503e-07],0.0,[-5.27489719e-01 -5.42692238e-01 -5.12705451e-01  5.94466510e-05],[-1.11827552 -1.18802104 -1.05310757  0.00119877]
Random,User,Split,1.0,0.5,1.0,[0.47206436 0.45579697 0.48670749 0.04180715],[0.11778886 0.06559524 0.20619065 0.00136914],0.0,[0.35427551 0.26554688 0.40796334 0.00140637],[0.75046807 0.56506452 0.85927527 0.00613379]
User,Ideal,Split,1.0,0.5,1.0,[0.1187687  0.06862473 0.20876911 0.00579093],[9.99404737e-01 9.98411872e-01 1.00000000e+00 1.79601642e-07],0.0,[-0.88063604 -0.92979656 -0.78999437  0.00139637],[ -8.19419893 -13.54914485  -3.78405944   7.06588938]
User,Random,Split,1.0,0.5,1.0,[0.11578079 0.06337405 0.19958861 0.00534886],[4.71977847e-01 4.56916100e-01 4.87150654e-01 5.85722830e-05],0.0,[-0.35619705 -0.41007159 -0.27078658  0.00139777],[-3.46564651 -6.40455378 -1.34262663  1.74381938]
User,Item,Split,1.0,0.5,1.0,[0.11712049 0.06323333 0.20102789 0.00544122],[0.36561755 0.2785     0.44889216 0.00200016],0.0,[-0.24849706 -0.3582575  -0.116       0.00388806],[-2.44295964 -5.11324341 -0.60581428  1.43839053]
Item,Ideal,Cluster,1.0,0.54,1.0,[0.94537838 0.8913582  0.97480667 0.16557848],[0.9994202  0.99834515 1.         0.18722113],0.4819069083945114,[-0.05404182 -0.09474216 -0.02803016  0.00121662],[-0.0577705  -0.12085549 -0.02493276  0.00068089]
Item,Random,Cluster,1.0,0.5,1.0,[0.48784304 0.41260212 0.55913141 0.04706708],[0.47214778 0.45757155 0.48642037 0.04188428],0.40696803170935325,[ 0.01569526 -0.04314878  0.07521902  0.00179892],[ 0.02667581 -0.15239335  0.15489083  0.00579101]
Item,User,Cluster,1.0,0.38,1.0,[0.41384105 0.33119862 0.49297595 0.03520289],[0.33005904 0.20941547 0.43932749 0.02657228],0.4864726227421449,[ 0.08378201 -0.00446298  0.18068496  0.00569647],[ 0.2013169  -0.04390114  0.46051632  0.01696948]
Ideal,Item,Cluster,1.0,0.51,1.0,[0.99943339 0.99855027 1.         0.18724831],[0.94478762 0.89463902 0.97308796 0.1655858 ],0.48399169606679104,[0.05464577 0.03050976 0.09440959 0.00119232],[0.05467653 0.02650962 0.10506533 0.00037442]
Ideal,Random,Cluster,1.0,0.51,1.0,[0.99940736 0.99855072 1.         0.18724511],[0.47244535 0.45700065 0.48777972 0.04196277],0.4563712469938922,[0.52696201 0.51397813 0.53999861 0.05215479],[5.27274126e-01 5.11724701e-01 5.42903252e-01 6.15741868e-05]
Ideal,User,Cluster,1.0,0.55,1.0,[0.99941793 0.99834515 1.         0.18722084],[0.8079139  0.59182133 0.92293787 0.12652227],0.4571396990861815,[0.19150404 0.08491887 0.35539769 0.0175983 ],[0.19161548 0.07664235 0.40761094 0.00749725]
Random,Item,Cluster,1.0,0.44,1.0,[0.47237005 0.45804469 0.48661629 0.0419349 ],[0.48892144 0.41521267 0.56411681 0.04768333],0.4064254368127434,[-0.01655139 -0.0780166   0.05057564  0.00210865],[-0.03532152 -0.1977415   0.12943771  0.00672153]
Random,Ideal,Cluster,1.0,0.47,1.0,[0.47220715 0.45703601 0.48806726 0.04196974],[0.99941407 0.99834515 1.         0.18722036],0.4578787092860219,[-0.52720692 -0.54076655 -0.51381054  0.05221668],[-1.11706786 -1.18698848 -1.04705078  0.00126126]
Random,User,Cluster,1.0,0.44,1.0,[0.47252328 0.45616948 0.48662396 0.04184784],[0.12032629 0.08736365 0.17176233 0.00390428],0.42149161987876027,[0.35219698 0.30985453 0.38499117 0.02354904],[0.74528657 0.6361617  0.81405386 0.00210167]
User,Ideal,Cluster,1.0,0.5,1.0,[0.80671332 0.51665064 0.93016534 0.12833081],[0.99943878 0.99850379 1.         0.1872432 ],0.45591302536382167,[-0.19272547 -0.41956771 -0.07851621  0.02501014],[-0.26687221 -0.93507694 -0.07505859  0.05123296]
User,Random,Cluster,1.0,0.56,1.0,[0.12164751 0.08754174 0.18191358 0.00432847],[0.47211088 0.45648056 0.48775674 0.04191482],0.4213850737304664,[-0.35046337 -0.38378292 -0.29894388  0.02315272],[-3.01884295 -4.40573684 -1.58008635  0.52106208]
User,Item,Cluster,1.0,0.49,1.0,[0.33275405 0.22680999 0.43440049 0.02597011],[0.41099838 0.33404149 0.4795252  0.03388948],0.4921746225615479,[-0.07824433 -0.1593326  -0.0021997   0.00428517],[-0.26133517 -0.73083878  0.02738195  0.04010182]
Item,Ideal,User-corpus,1.0,0.5,1.0,[0.32901869 0.26497392 0.39936809 0.02281699],[9.85183653e-01 9.78271337e-01 9.91615566e-01 1.24120675e-05],0.0,[-0.65616497 -0.71985621 -0.58425222  0.00113385],[-2.02641896 -2.70881703 -1.46475202  0.0997649 ]
Item,Random,User-corpus,1.0,0.5,1.0,[0.33043319 0.26260316 0.39559134 0.02257321],[4.21871970e-01 4.04218162e-01 4.38891414e-01 7.96020233e-05],0.0,[-0.09143878 -0.16115031 -0.02418063  0.00123345],[-0.29045344 -0.61118684 -0.06000901  0.01921916]
Item,User,User-corpus,1.0,0.5,1.0,[0.32892961 0.26688565 0.39815801 0.02273918],[0.08334301 0.04066731 0.15113542 0.0008191 ],0.0,[0.24558659 0.14650474 0.34120305 0.00244191],[0.74171686 0.50154007 0.89012019 0.00988094]
Ideal,Item,User-corpus,1.0,0.5,1.0,[0.9850238  0.97719094 0.99166793 0.1818059 ],[0.32906947 0.26387549 0.39902066 0.00123756],0.0,[0.65595433 0.5878011  0.72067956 0.00122248],[0.66593751 0.59561145 0.73174946 0.00126759]
Ideal,Random,User-corpus,1.0,0.5,1.0,[0.98501176 0.97715892 0.99135802 0.18176138],[4.22610248e-01 4.05784084e-01 4.39007525e-01 7.76913300e-05],0.0,[5.62401508e-01 5.43240098e-01 5.82201660e-01 1.03027938e-04],[5.70946998e-01 5.53091391e-01 5.89219159e-01 8.82313758e-05]
Ideal,User,User-corpus,1.0,0.5,1.0,[0.98508155 0.97754991 0.99125716 0.18180394],[0.08665653 0.04374884 0.15148707 0.00083617],0.0,[8.98425012e-01 8.31508363e-01 9.41957912e-01 8.34450802e-04],[9.12037424e-01 8.46201632e-01 9.55758662e-01 8.60308853e-04]
Random,Item,User-corpus,1.0,0.5,1.0,[0.42231997 0.40393318 0.43877834 0.03349161],[0.32968316 0.26615873 0.39369212 0.00107668],0.0,[0.09263681 0.02707899 0.15795441 0.00116125],[0.21898452 0.06418858 0.37017602 0.00632698]
Random,Ideal,User-corpus,1.0,0.5,1.0,[0.42254808 0.40544662 0.44066905 0.03368653],[9.85036237e-01 9.78054167e-01 9.91837113e-01 1.23737755e-05],0.0,[-5.62488161e-01 -5.81957783e-01 -5.43047567e-01  1.05689030e-04],[-1.33224413 -1.43373993 -1.23335918  0.00265058]
Random,User,User-corpus,1.0,0.5,1.0,[0.422223   0.40530273 0.43985617 0.03361295],[0.08413437 0.03953136 0.1490122  0.00080713],0.0,[0.33808863 0.26832879 0.38717803 0.00092003],[0.8005482  0.64327663 0.90596589 0.00459161]
User,Ideal,User-corpus,1.0,0.5,1.0,[0.08372252 0.03936959 0.14735698 0.00299696],[9.85043433e-01 9.77386977e-01 9.91525935e-01 1.32503112e-05],0.0,[-9.01320915e-01 -9.46359750e-01 -8.36110666e-01  7.97101919e-04],[-12.18102765 -23.93488457  -5.6934546   21.849938  ]
User,Random,User-corpus,1.0,0.5,1.0,[0.08591565 0.04310404 0.15140985 0.00312605],[4.22000851e-01 4.04560365e-01 4.38888889e-01 7.82269113e-05],0.0,[-0.3360852  -0.38404062 -0.26606737  0.00092601],[-4.46496134 -8.75055509 -1.74541695  3.46294475]
User,Item,User-corpus,1.0,0.5,1.0,[0.08613685 0.04159845 0.14758937 0.00299542],[0.33048548 0.26743038 0.39341263 0.00109029],0.0,[-0.24434863 -0.33452246 -0.14840164  0.00224719],[-3.31309367 -7.37822936 -1.09157996  2.74213921]
