algo1,algo2,method,gamma_pref,treatment_percentage,Unnamed: 0,TUR_algo_1,TUR_algo_2,graph_cut,TE,Percentage_TE
Random,Item,Split,7.0,0.5,282,[0.4432126  0.42676515 0.46000227],[0.58802099 0.53167048 0.6419578 ],0.0,[-0.14480839 -0.20178664 -0.08625187  0.00086867],[-0.32718609 -0.4620012  -0.19014785  0.00489116]
Random,Ideal,Split,7.0,0.5,283,[0.44299214 0.42676693 0.45839091],[0.99632504 0.99408944 0.99814815],0.0,[-5.5333289e-01 -5.6995746e-01 -5.3747743e-01  6.8653188e-05],[-1.24989658 -1.33583167 -1.17265135  0.00185925]
Random,User,Split,7.0,0.5,284,[0.44264272 0.42591766 0.45833965],[0.34629023 0.24082472 0.44294733],0.0,[ 0.09635249 -0.00073071  0.19882414  0.00259151],[ 0.21774672 -0.00164534  0.45266397  0.01357661]
User,Ideal,Split,7.0,0.5,285,[0.34859014 0.24375546 0.44532556],[0.99630222 0.99417865 0.9982459 ],0.0,[-0.64771208 -0.75172178 -0.55110973  0.00261904],[-1.92892937 -3.08643225 -1.23736946  0.23198875]
User,Random,Split,7.0,0.5,286,[0.34928004 0.24253103 0.44808603],[0.44333503 0.42646275 0.4605233 ],0.0,[-0.09405499 -0.19997811  0.00423016  0.00271378],[-0.30275645 -0.82488295  0.00954465  0.05000639]
User,Item,Split,7.0,0.5,287,[0.34723364 0.23639707 0.44852011],[0.58920462 0.53203396 0.63889444],0.0,[-0.24197097 -0.36937948 -0.12642359  0.00384134],[-0.74587452 -1.55393424 -0.28845792  0.10897531]
Item,Ideal,Cluster,7.0,0.49,288,[0.73685526 0.67675821 0.78231529],[0.99633504 0.9937609  0.99871981],0.2011827159943045,[-0.25947978 -0.30840613 -0.22284223  0.00047644],[-0.35388504 -0.47307999 -0.27432979  0.00241904]
Item,Random,Cluster,7.0,0.52,289,[0.71562364 0.66277814 0.76218364],[0.44314358 0.42569953 0.46265207],0.2832817441557659,[0.27248006 0.23303592 0.3132158  0.00041837],[0.38007022 0.33422188 0.42496573 0.00055437]
Item,User,Cluster,7.0,0.47,290,[0.67881683 0.62533079 0.72767943],[0.50736596 0.38650914 0.60636187],0.3343809037126677,[0.17145087 0.07278578 0.27334176 0.00261757],[0.25134531 0.09460463 0.4475152  0.00781423]
Ideal,Item,Cluster,7.0,0.51,291,[0.99630341 0.99368029 0.9985823 ],[0.73545855 0.67752415 0.78281677],0.2016140104346246,[0.26084486 0.21973173 0.30689298 0.0004944 ],[0.2618144  0.2136521  0.31982722 0.00070178]
Ideal,Random,Cluster,7.0,0.55,292,[0.99638155 0.99370997 0.99861111],[0.44341134 0.42434771 0.46237689],0.2584753824178694,[5.52970210e-01 5.36649850e-01 5.68811770e-01 6.73149923e-05],[5.54976585e-01 5.35777534e-01 5.74162103e-01 9.33568822e-05]
Ideal,User,Cluster,7.0,0.48,293,[0.99638717 0.99389923 0.99855095],[0.56103739 0.425673   0.67202204],0.3072156807874405,[0.43534978 0.3386917  0.54893935 0.00287667],[0.43692663 0.32531772 0.57250373 0.00384034]
Random,Item,Cluster,7.0,0.48,294,[0.44357246 0.42455848 0.46175226],[0.71545334 0.666661   0.76175379],0.2827891785981438,[-0.27188089 -0.31245114 -0.22993897  0.00044306],[-0.61350822 -0.74159613 -0.4986857   0.00387853]
Random,Ideal,Cluster,7.0,0.51,295,[0.44333049 0.42489712 0.46256304],[0.99635432 0.9936214  0.99861182],0.2577624309862659,[-5.53023830e-01 -5.68951690e-01 -5.37053080e-01  6.62172871e-05],[-1.24849377 -1.34498397 -1.15308916  0.00240501]
Random,User,Cluster,7.0,0.5,296,[0.44314445 0.42478458 0.46256155],[0.43703602 0.31525694 0.54357222],0.2878676641783858,[ 0.00610844 -0.08506976  0.11160759  0.00251731],[ 0.01300302 -0.22917241  0.29159235  0.01888003]
User,Ideal,Cluster,7.0,0.46,297,[0.55687577 0.41686083 0.66365039],[0.99632058 0.99373671 0.99858156],0.3018467180043176,[-0.4394448  -0.55019028 -0.34751331  0.00267323],[-0.81515198 -1.39328521 -0.4993395   0.0532063 ]
User,Random,Cluster,7.0,0.46,298,[0.43809683 0.30878614 0.54342078],[0.44282665 0.42468839 0.46152392],0.2850684072491468,[-0.00472982 -0.1128371   0.08819005  0.00262989],[-0.03242706 -0.43911486  0.18683625  0.02565642]
User,Item,Cluster,7.0,0.55,299,[0.50831474 0.39316752 0.60669547],[0.67744853 0.62468632 0.72990152],0.3316844221684089,[-0.16913379 -0.27569457 -0.07313545  0.00267012],[-0.34937308 -0.74723597 -0.09130189  0.027224  ]
Item,Ideal,User-corpus,7.0,0.5,300,[0.43413465 0.37479604 0.49640873],[0.91510593 0.89550595 0.93356471],0.0,[-0.48097128 -0.54409747 -0.40874756  0.0011062 ],[-1.11905427 -1.44639869 -0.83405097  0.02489408]
Item,Random,User-corpus,7.0,0.5,301,[0.43413465 0.37479604 0.49640873],[0.37644772 0.35653989 0.39516908],0.0,[ 0.05768693 -0.0051746   0.12528755  0.00110737],[ 0.12824287 -0.01365842  0.25381721  0.00472258]
Item,User,User-corpus,7.0,0.5,302,[0.43413465 0.37479604 0.49640873],[0.17428115 0.10967911 0.25321047],0.0,[0.2598535  0.15513687 0.35535379 0.00255484],[0.59584507 0.38702803 0.75070608 0.00863057]
Ideal,Item,User-corpus,7.0,0.5,303,[0.91609985 0.8973374  0.9349221 ],[0.43337245 0.37064517 0.49638047],0.0,[0.48272741 0.41438474 0.54729163 0.00116307],[0.52683825 0.45615596 0.59429882 0.00125188]
Ideal,Random,User-corpus,7.0,0.5,304,[0.91609985 0.8973374  0.9349221 ],[0.37644772 0.35653989 0.39516908],0.0,[5.39652137e-01 5.09824483e-01 5.71624539e-01 2.64219467e-04],[5.88987859e-01 5.64863466e-01 6.14366310e-01 1.72295287e-04]
Ideal,User,User-corpus,7.0,0.5,305,[0.91609985 0.8973374  0.9349221 ],[0.17428115 0.10967911 0.25321047],0.0,[0.7418187  0.66208293 0.80654908 0.00141809],[0.80975166 0.72234246 0.88017521 0.00160768]
Random,Item,User-corpus,7.0,0.5,306,[0.37704572 0.35702671 0.39705641],[0.43337245 0.37064517 0.49638047],0.0,[-0.05632673 -0.12134789  0.01166486  0.00113576],[-0.15036874 -0.32794043  0.03028857  0.0082637 ]
Random,Ideal,User-corpus,7.0,0.5,307,[0.37704572 0.35702671 0.39705641],[0.91510593 0.89550595 0.93356471],0.0,[-5.38060214e-01 -5.70288834e-01 -5.03365335e-01  2.77237815e-04],[-1.42908014 -1.58403068 -1.26884644  0.00628125]
Random,User,User-corpus,7.0,0.5,308,[0.37704572 0.35702671 0.39705641],[0.17428115 0.10967911 0.25321047],0.0,[0.20276456 0.12106341 0.27156149 0.00148845],[0.53731233 0.32171355 0.71174126 0.0098    ]
User,Ideal,User-corpus,7.0,0.5,309,[0.17367591 0.11110494 0.25055556],[0.91510593 0.89550595 0.93356471],0.0,[-0.74143002 -0.80541916 -0.66293079  0.00134686],[-4.50140575 -7.26026914 -2.63192172  1.37723232]
User,Random,User-corpus,7.0,0.5,310,[0.17367591 0.11110494 0.25055556],[0.37644772 0.35653989 0.39516908],0.0,[-0.20277181 -0.2679151  -0.12369064  0.00140029],[-1.26341334 -2.42425071 -0.49115364  0.23684704]
User,Item,User-corpus,7.0,0.5,311,[0.17367591 0.11110494 0.25055556],[0.43337245 0.37064517 0.49638047],0.0,[-0.25969654 -0.35129474 -0.1565718   0.00250645],[-1.60907338 -2.95265292 -0.64988196  0.36438933]
Item,Item,Ref,50.0,0.0,312,[0.60343393 0.56453773 0.64219003],[0.60410071 0.56765152 0.64151458],0.0,[-0.00066678 -0.04893108  0.04432718  0.00056598],[-0.00184599 -0.08513388  0.07042594  0.00148744]
User,User,Ref,50.0,0.0,313,[0.63218136 0.59502672 0.66899508],[0.63245979 0.5975832  0.66792978],0.0,[-0.00027843 -0.04745909  0.04542545  0.00056145],[-0.00120216 -0.07781212  0.06909329  0.00147457]
Random,Random,Ref,50.0,0.0,314,[0.34957403 0.33777778 0.36111928],[0.34913695 0.33737193 0.36127166],0.0,[ 0.00043709 -0.02068029  0.01971842  0.00010621],[ 0.00082829 -0.06117045  0.0550009   0.00083676]
Ideal,Ideal,Ref,50.0,0.0,315,[0.98281336 0.9784847  0.98662245],[0.98260216 0.97841715 0.98655054],0.0,[ 2.11200000e-04 -6.50281000e-03  6.88297000e-03  1.16604479e-05],[ 2.08809586e-04 -6.63966337e-03  6.97449482e-03  1.24923103e-05]
Item,Ideal,Naive,50.0,0.5,316,[0.94247682 0.9193128  0.95748792],[0.98272585 0.97858984 0.98658491],0.4990308323899384,[-0.04024903 -0.06467584 -0.0243742   0.0001057 ],[-0.04288241 -0.07017879 -0.02548598  0.0001989 ]
Item,Random,Naive,50.0,0.5,317,[0.93722232 0.90162564 0.95762661],[0.34921724 0.33589506 0.3610049 ],0.4957501374035032,[5.88005080e-01 5.49122800e-01 6.11362260e-01 2.52092252e-04],[6.27298039e-01 6.07761140e-01 6.42494012e-01 7.77398377e-05]
Item,User,Naive,50.0,0.5,318,[0.66805053 0.62752158 0.70773566],[0.60278767 0.56937642 0.63698271],0.5006223411725724,[0.06526286 0.01429422 0.11138377 0.00061344],[0.09695471 0.02237022 0.16068882 0.00119909]
Ideal,Item,Naive,50.0,0.5,319,[0.98272839 0.97860009 0.98703704],[0.94263086 0.92175623 0.95705357],0.4970238687702838,[4.00975300e-02 2.39212400e-02 6.25798100e-02 9.72566791e-05],[0.040794   0.02437734 0.06355833 0.00014481]
Ideal,Random,Naive,50.0,0.5,320,[0.98267457 0.97821272 0.9864739 ],[0.34917726 0.33785698 0.36122117],0.4902049809828467,[6.33497310e-01 6.20360980e-01 6.45641170e-01 4.15899629e-05],[6.44663802e-01 6.32199950e-01 6.55773019e-01 3.81415649e-05]
Ideal,User,Naive,50.0,0.5,321,[0.98269233 0.9782214  0.98666667],[0.89708583 0.85481111 0.92556481],0.4985558601774257,[0.0856065  0.05659764 0.12875393 0.00033883],[0.0871038  0.05775804 0.13094318 0.00035807]
Random,Item,Naive,50.0,0.5,322,[0.34940936 0.33694444 0.36097604],[0.93720361 0.89700397 0.95826728],0.4947209174565838,[-5.87794250e-01 -6.11551340e-01 -5.44732820e-01  2.90550462e-04],[-1.68302771 -1.79833987 -1.54162059  0.00402783]
Random,Ideal,Naive,50.0,0.5,323,[0.34922039 0.33806022 0.36065155],[0.98264549 0.97866667 0.98639739],0.4899968091407548,[-6.33425100e-01 -6.45843850e-01 -6.21329820e-01  3.91072513e-05],[-1.81462351 -1.91056885 -1.72590555  0.00231097]
Random,User,Naive,50.0,0.5,324,[0.34924248 0.33809347 0.36077948],[0.85998688 0.8141351  0.89793619],0.4956100488580862,[-5.10744410e-01 -5.50484070e-01 -4.65111010e-01  4.74317952e-04],[-1.46315541 -1.60914366 -1.30850583  0.00562856]
User,Ideal,Naive,50.0,0.5,325,[0.89671208 0.85863791 0.92487947],[0.98277991 0.97863248 0.98658377],0.4986294305290779,[-0.08606783 -0.12471914 -0.05780641  0.00029137],[-0.09640543 -0.14498961 -0.06275997  0.00048432]
User,Random,Naive,50.0,0.5,326,[0.85921217 0.81329057 0.89738319],[0.3493268  0.33734793 0.36111111],0.4946695501666422,[5.09885370e-01 4.63489360e-01 5.52528100e-01 5.15924174e-04],[5.93173653e-01 5.66604407e-01 6.15158043e-01 1.54942020e-04]
User,Item,Naive,50.0,0.5,327,[0.60172405 0.56750942 0.63658349],[0.66909495 0.63055278 0.70939744],0.4995289263177333,[-0.06737091 -0.11695756 -0.01643127  0.00065764],[-0.11282202 -0.19779021 -0.02613639  0.00200074]
Item,Ideal,Split,50.0,0.5,328,[0.52139822 0.47151465 0.56687949],[0.98275218 0.97878577 0.98691423],0.0,[-0.46135396 -0.51104161 -0.41480502  0.00060271],[-0.88904623 -1.08417672 -0.72963932  0.00807316]
Item,Random,Split,50.0,0.5,329,[0.52230888 0.47388964 0.57096547],[0.34922933 0.33703704 0.36074074],0.0,[0.17307955 0.12327946 0.22589141 0.00068521],[0.32986857 0.2592209  0.39451408 0.00116275]
Item,User,Split,50.0,0.5,330,[0.52242592 0.47554321 0.56785825],[0.52674813 0.47985456 0.57019285],0.0,[-0.00432222 -0.08522716  0.07319288  0.00163323],[-0.01133427 -0.1796537   0.13046789  0.00620052]
Ideal,Item,Split,50.0,0.5,331,[0.9826619  0.97861012 0.98661742],[0.52195449 0.46944001 0.56913783],0.0,[0.46070741 0.41558491 0.51146415 0.00059824],[0.46883432 0.42150203 0.52150961 0.0005929 ]
Ideal,Random,Split,50.0,0.5,332,[0.98284066 0.9787649  0.98683221],[0.34901854 0.33729834 0.36009637],0.0,[6.33822120e-01 6.21240210e-01 6.46828730e-01 4.26106541e-05],[6.44884849e-01 6.33148065e-01 6.57181239e-01 3.83797617e-05]
Ideal,User,Split,50.0,0.5,333,[0.98270838 0.97870323 0.98655054],[0.52519017 0.47723543 0.5696499 ],0.0,[0.45751822 0.41237657 0.50514559 0.00056006],[0.46556372 0.42019896 0.51397652 0.00059838]
Random,Item,Split,50.0,0.5,334,[0.34950926 0.33789591 0.36160437],[0.52129436 0.47327812 0.56453504],0.0,[-0.1717851  -0.21889205 -0.12334845  0.00059406],[-0.49195896 -0.63424036 -0.34815304  0.00526063]
Random,Ideal,Split,50.0,0.5,335,[0.34929249 0.33745762 0.36137636],[0.98265249 0.97840561 0.98656358],0.0,[-6.33360000e-01 -6.46301740e-01 -6.20372920e-01  4.37515428e-05],[-1.81411275 -1.91069261 -1.71926156  0.0024446 ]
Random,User,Split,50.0,0.5,336,[0.34936793 0.33744717 0.36100638],[0.52556962 0.47800037 0.56955194],0.0,[-0.17620169 -0.22317133 -0.12925216  0.00057403],[-0.50472884 -0.64683288 -0.36952299  0.0051577 ]
User,Ideal,Split,50.0,0.5,337,[0.5266047  0.48216173 0.56878392],[0.98263429 0.97850203 0.98659069],0.0,[-0.45602958 -0.50171696 -0.41365983  0.00050461],[-0.86951239 -1.04121043 -0.72750267  0.00668712]
User,Random,Split,50.0,0.5,338,[0.52701029 0.48429697 0.56910438],[0.34930633 0.33767979 0.36135293],0.0,[0.17770397 0.13295006 0.22178462 0.00051356],[0.33603775 0.27318491 0.39063013 0.00088702]
User,Item,Split,50.0,0.5,339,[0.52580499 0.47621564 0.56764341],[0.5227347  0.47382389 0.56839949],0.0,[ 0.00307029 -0.08064408  0.08114388  0.00170341],[ 0.00297177 -0.17153225  0.14323796  0.00593975]
Item,Ideal,Cluster,50.0,0.56,340,[0.5930815  0.53768217 0.64970097],[0.9830697  0.97377677 0.99267345],0.0992687365065283,[-0.3899882  -0.44012845 -0.34248064  0.00062052],[-0.66144456 -0.83467646 -0.51419001  0.00661831]
Item,Random,Cluster,50.0,0.54,341,[0.6041388  0.55296673 0.66179712],[0.34982311 0.32448653 0.37690999],0.1305500532127971,[0.25431569 0.20390966 0.30750379 0.00069839],[0.4197035  0.35172901 0.48596751 0.00125248]
